session_id,service_requests,honeypot_requests,session_length_seconds,decisions,first_action,first_backend,attack_type,route_applied
evasion_20260530_0001_benign,7,0,0.986755,1,KEEP_NORMAL,normal_api,,False
evasion_20260530_0002_sqli,5,3,5.405463,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0003_benign,7,0,0.909459,2,KEEP_NORMAL,normal_api,,False
evasion_20260530_0004_cmdi,5,3,7.356673,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0005_benign,7,0,1.159445,1,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0006_ssti,5,3,3.301503,2,ROUTE_SSTI,ssti_api,ssti,True
evasion_20260530_0007_ssti,5,3,4.280473,2,ROUTE_SSTI,ssti_api,ssti,True
evasion_20260530_0008_cmdi,5,3,4.257278,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0009_ssti,5,3,10.864606,2,ROUTE_SSTI,ssti_api,ssti,True
evasion_20260530_0010_sqli,5,3,4.344012,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0011_ssrf,5,3,4.248268,2,ROUTE_SSRF,ssrf_api,ssrf,True
evasion_20260530_0012_benign,7,0,1.044416,1,ROUTE_SSTI,ssti_api,ssti,True
evasion_20260530_0013_sqli,5,3,5.291454,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0014_ssrf,5,3,4.260023,2,ROUTE_SSRF,ssrf_api,ssrf,True
evasion_20260530_0015_sqli,5,3,4.341099,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0016_ssti,5,3,7.918189,2,ROUTE_SSTI,ssti_api,ssti,True
evasion_20260530_0017_cmdi,5,3,7.343088,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0018_ssrf,5,3,4.333221,2,ROUTE_SSRF,ssrf_api,ssrf,True
evasion_20260530_0019_benign,7,0,1.032688,1,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0020_ssrf,5,3,7.260781,2,ROUTE_SSRF,ssrf_api,ssrf,True
evasion_20260530_0021_cmdi,5,3,6.313212,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0022_ssti,5,3,4.280016,2,ROUTE_SSTI,ssti_api,ssti,True
evasion_20260530_0023_sqli,5,3,8.924522,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0024_ssrf,5,3,6.376641,2,ROUTE_SSRF,ssrf_api,ssrf,True
evasion_20260530_0025_cmdi,5,3,4.297184,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0026_cmdi,5,3,5.267439,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0027_benign,6,0,0.796092,1,KEEP_NORMAL,normal_api,,False
evasion_20260530_0028_sqli,5,3,3.313651,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0029_cmdi,5,0,35.93677,2,KEEP_NORMAL,normal_api,,False
evasion_20260530_0030_cmdi,5,3,7.333862,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0031_cmdi,5,3,17.844156,2,ROUTE_CMDI,cmdi_api,cmdi,True
evasion_20260530_0032_sqli,5,3,6.392253,2,ROUTE_SQLI,sqli_api,sqli,True
evasion_20260530_0033_benign,6,0,0.646076,1,ROUTE_SSTI,ssti_api,ssti,True
